,NOM,Humidity,Month,Type
147,KORHOGO AERO,2,NOV,Min
148,MAN-AERO,31,NOV,Min
149,ODIENNE  AERO,15,NOV,Min
150,SAN-PEDRO AE,57,NOV,Min
151,SASSANDRA*,60,NOV,Min
152,TABOU AERO,47,NOV,Min
153,YAMOUSSOUKRO AE,19,NOV,Min
154,ABIDJAN - AERO,11,DEC,Min
155,ADIAKE,27,DEC,Min
156,BONDOUKOU,3,DEC,Min
157,BOUAKE (AERO),8,DEC,Min
158,DALOA AERO,11,DEC,Min
159,DIMBOKRO  *,2,DEC,Min
160,GAGNOA  *,20,DEC,Min
161,KORHOGO AERO,1,DEC,Min
162,MAN-AERO,5,DEC,Min
163,ODIENNE  AERO,6,DEC,Min
164,SAN-PEDRO AE,21,DEC,Min
165,SASSANDRA*,29,DEC,Min
166,TABOU AERO,27,DEC,Min
167,YAMOUSSOUKRO AE,3,DEC,Min
168,ABIDJAN - AERO,100,JAN,Max
169,ADIAKE,100,JAN,Max
170,BONDOUKOU,100,JAN,Max
171,BOUAKE (AERO),100,JAN,Max
172,DALOA AERO,100,JAN,Max
173,DIMBOKRO  *,100,JAN,Max
174,GAGNOA  *,100,JAN,Max
175,KORHOGO AERO,99,JAN,Max
176,MAN-AERO,100,JAN,Max
177,ODIENNE  AERO,100,JAN,Max
178,SAN-PEDRO AE,100,JAN,Max
179,SASSANDRA*,100,JAN,Max
180,TABOU AERO,100,JAN,Max
181,YAMOUSSOUKRO AE,100,JAN,Max
182,ABIDJAN - AERO,100,FEV,Max
183,ADIAKE,100,FEV,Max
184,BONDOUKOU,100,FEV,Max
185,BOUAKE (AERO),100,FEV,Max
186,DALOA AERO,100,FEV,Max
187,DIMBOKRO  *,100,FEV,Max
188,GAGNOA  *,100,FEV,Max
189,KORHOGO AERO,100,FEV,Max
190,MAN-AERO,100,FEV,Max
191,ODIENNE  AERO,100,FEV,Max
192,SAN-PEDRO AE,100,FEV,Max
193,SASSANDRA*,100,FEV,Max
194,TABOU AERO,100,FEV,Max
195,YAMOUSSOUKRO AE,100,FEV,Max
196,ABIDJAN - AERO,100,MARS,Max
197,ADIAKE,100,MARS,Max
198,BONDOUKOU,100,MARS,Max
199,BOUAKE (AERO),100,MARS,Max
200,DALOA AERO,100,MARS,Max
201,DIMBOKRO  *,100,MARS,Max
202,GAGNOA  *,100,MARS,Max
203,KORHOGO AERO,100,MARS,Max
204,MAN-AERO,100,MARS,Max
205,ODIENNE  AERO,100,MARS,Max
206,SAN-PEDRO AE,100,MARS,Max
207,SASSANDRA*,100,MARS,Max
208,TABOU AERO,100,MARS,Max
209,YAMOUSSOUKRO AE,100,MARS,Max
210,ABIDJAN - AERO,100,AVRIL,Max
211,ADIAKE,100,AVRIL,Max
212,BONDOUKOU,100,AVRIL,Max
213,BOUAKE (AERO),100,AVRIL,Max
214,DALOA AERO,100,AVRIL,Max
215,DIMBOKRO  *,100,AVRIL,Max
216,GAGNOA  *,100,AVRIL,Max
217,KORHOGO AERO,100,AVRIL,Max
218,MAN-AERO,100,AVRIL,Max
219,ODIENNE  AERO,100,AVRIL,Max
220,SAN-PEDRO AE,100,AVRIL,Max
221,SASSANDRA*,100,AVRIL,Max
222,TABOU AERO,100,AVRIL,Max
223,YAMOUSSOUKRO AE,100,AVRIL,Max
224,ABIDJAN - AERO,100,MAI,Max
225,ADIAKE,100,MAI,Max
226,BONDOUKOU,100,MAI,Max
227,BOUAKE (AERO),100,MAI,Max
228,DALOA AERO,100,MAI,Max
229,DIMBOKRO  *,100,MAI,Max
230,GAGNOA  *,100,MAI,Max
231,KORHOGO AERO,100,MAI,Max
232,MAN-AERO,100,MAI,Max
233,ODIENNE  AERO,100,MAI,Max
234,SAN-PEDRO AE,100,MAI,Max
235,SASSANDRA*,100,MAI,Max
236,TABOU AERO,100,MAI,Max
237,YAMOUSSOUKRO AE,98,MAI,Max
238,ABIDJAN - AERO,100,JUIN,Max
239,ADIAKE,100,JUIN,Max
240,BONDOUKOU,100,JUIN,Max
241,BOUAKE (AERO),100,JUIN,Max
242,DALOA AERO,100,JUIN,Max
243,DIMBOKRO  *,100,JUIN,Max
244,GAGNOA  *,100,JUIN,Max
245,KORHOGO AERO,100,JUIN,Max
246,MAN-AERO,100,JUIN,Max
247,ODIENNE  AERO,100,JUIN,Max
248,SAN-PEDRO AE,100,JUIN,Max
249,SASSANDRA*,100,JUIN,Max
250,TABOU AERO,100,JUIN,Max
251,YAMOUSSOUKRO AE,100,JUIN,Max
252,ABIDJAN - AERO,100,JUILLET,Max
253,ADIAKE,100,JUILLET,Max
254,BONDOUKOU,100,JUILLET,Max
255,BOUAKE (AERO),100,JUILLET,Max
256,DALOA AERO,100,JUILLET,Max
257,DIMBOKRO  *,100,JUILLET,Max
258,GAGNOA  *,100,JUILLET,Max
259,KORHOGO AERO,100,JUILLET,Max
260,MAN-AERO,100,JUILLET,Max
261,ODIENNE  AERO,100,JUILLET,Max
262,SAN-PEDRO AE,100,JUILLET,Max
263,SASSANDRA*,100,JUILLET,Max
264,TABOU AERO,100,JUILLET,Max
265,YAMOUSSOUKRO AE,100,JUILLET,Max
266,ABIDJAN - AERO,100,AOUT,Max
267,ADIAKE,97,AOUT,Max
268,BONDOUKOU,100,AOUT,Max
269,BOUAKE (AERO),100,AOUT,Max
270,DALOA AERO,100,AOUT,Max
271,DIMBOKRO  *,100,AOUT,Max
272,GAGNOA  *,100,AOUT,Max
273,KORHOGO AERO,100,AOUT,Max
274,MAN-AERO,100,AOUT,Max
275,ODIENNE  AERO,100,AOUT,Max
